2025-12-07 16:33:23.297 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.my2424huuu.tliaswebmanagement.TliasWebManagementApplicationTests], using SpringBootContextLoader
2025-12-07 16:33:23.308 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.my2424huuu.tliaswebmanagement.TliasWebManagementApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2025-12-07 16:33:23.309 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.my2424huuu.tliaswebmanagement.TliasWebManagementApplicationTests]: TliasWebManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-12-07 16:33:23.498 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.my2424huuu.TliasWebManagementApplication for test class com.my2424huuu.tliaswebmanagement.TliasWebManagementApplicationTests
2025-12-07 16:33:23.675 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2025-12-07 16:33:23.704 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@42463763, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@59f63e24, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@61f05988, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7ca33c24, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@fade1fc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@67c2e933, org.springframework.test.context.transaction.TransactionalTestExecutionListener@41dd05a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@613a8ee1, org.springframework.test.context.event.EventPublishingTestExecutionListener@178213b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7103cb56, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1b765a2c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2e8e8225, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6ebf0f36, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@18920cc, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2807bdeb]
2025-12-07 16:33:24.310 [main] INFO  c.m.t.TliasWebManagementApplicationTests - Starting TliasWebManagementApplicationTests using Java 17.0.12 on myhuuu with PID 59144 (started by 胡卟归- in E:\amaymay\lernen\Java\JavaWeb\tlias-web-management)
2025-12-07 16:33:24.311 [main] INFO  c.m.t.TliasWebManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-12-07 16:33:27.691 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-12-07 16:33:28.139 [main] INFO  c.m.t.TliasWebManagementApplicationTests - Started TliasWebManagementApplicationTests in 4.355 seconds (JVM running for 6.474)
2025-12-07 16:33:28.885 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-07 16:33:29.121 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-07 16:33:29.286 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-07 16:33:29.296 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
